Place Name,Room Type,Accommodates,Price,Rating,Num_Reviews,First Review,Last Review,Availability,Instant Book,Neighborhood ID,District,Neighborhood,Host ID,Host Name,Email,Date Joined,Host Location,Response Time,Response Rate,Acceptance Rate,Superhost,Listing Age (days),Days Since Last Review,Host Tenure (years)
Amazing Two-Floor Artist Loft!,Entire place,4,165.0,4.72,241,2016-02-18,2020-03-11,235,False,12,Brooklyn,Williamsburg,2681,Woodrow S. Prince,woodrowp64@hotmail.com,2016-02-12,"New York, New York, United States",Within an hour,100.0,100.0,False,1504,21,4.1
Authentic Artist's Loft - Prime Northside W'burg!!,Entire place,2,150.0,5.0,119,2016-12-13,2020-05-17,42,False,12,Brooklyn,Williamsburg,1962,Michelle K. Humphrey,michellekhumphrey@gmail.com,2014-10-27,"New York, New York, United States",Within a few hours,100.0,96.0,True,1205,-46,5.4
Prvte rm HUGE APT stps from Cnt Pk,Shared room,2,75.0,4.64,28,2016-04-19,2019-04-29,46,False,19,Manhattan,Upper East Side,908,Linda B. Quinn,lindaquinn@gmail.com,2012-11-16,"New York, New York, United States",Within a few hours,75.0,0.0,False,1443,338,7.4
Private Room in Uptown Manhattan,Private room,2,66.0,4.68,90,2016-12-13,2020-03-07,92,False,16,Manhattan,Harlem,2789,Benjamin R. Velasquez,brvelasquez32@outlook.com,2016-04-16,"New York, New York, United States",A few days or more,0.0,73.0,True,1205,25,4.0
"Sunny ""green"" brownstone duplex with deck & garden",Entire place,6,195.0,5.0,5,2016-07-28,2018-08-16,0,False,7,Brooklyn,Bedford-Stuyvesant,541,Cynthia D. Howard,cynthiah@gmail.com,2012-02-20,"Brooklyn, New York, United States",Within a day,100.0,100.0,False,1343,594,8.1
Manhattan private room elevator building singlebed,Private room,1,48.0,5.0,44,2016-11-05,2020-01-05,197,True,14,Manhattan,East Harlem,1200,Judith C. Mason,judithcmason94@hotmail.com,2013-06-22,"New York, New York, United States",Within an hour,100.0,100.0,True,1243,87,6.8
Sleek Modern Loft w/ Balcony,Entire place,2,199.0,5.0,56,2016-04-17,2019-12-28,355,False,12,Brooklyn,Williamsburg,1214,Samantha F. Paul,samanthafpaul@outlook.com,2013-06-30,"New York, New York, United States",Within a few hours,88.0,19.0,False,1445,95,6.8
cosy room wth private ensuite bathroom in bushwick,Private room,2,79.0,4.98,50,2016-04-17,2020-03-16,212,True,7,Brooklyn,Bedford-Stuyvesant,1948,Ricky C. Lloyd,rclloyd10@gmail.com,2014-10-15,"New York, New York, United States",Within an hour,100.0,100.0,True,1445,16,5.5
Backyard! Covered Porch w/ Swing & Outdoor Dining,Entire place,8,200.0,4.99,154,2016-10-03,2020-06-27,158,False,11,Brooklyn,Greenpoint,1009,Jacob M. Muhammad,jacobmuhammad5@yahoo.com,2013-02-17,"New York, New York, United States",Within a day,90.0,100.0,True,1276,-87,7.1
Spacious Flat in HeArt of Bushwick!,Entire place,3,128.0,4.96,185,2016-03-09,2020-03-15,347,False,25,Queens,Ridgewood,2580,Bonnie M. Salas,bmsalas81@outlook.com,2015-12-13,"New York, New York, United States",Within a few hours,100.0,73.0,False,1484,17,4.3
Fresh East Village 4K Pre-War Remix w Full Bar!,Entire place,4,189.0,5.0,9,2019-04-06,2019-08-18,90,True,15,Manhattan,East Village,800,Joan M. Ali,jmali@outlook.com,2012-08-28,"New York, New York, United States",A few days or more,0.0,100.0,False,361,227,7.6
Modern 1-bdrm apt near Manhattan and Central Park,Entire place,2,75.0,4.99,150,2016-08-30,2020-07-20,342,False,21,Queens,Astoria,2465,Jonathan D. Kim,jonathank1@hotmail.com,2015-09-18,"New York, New York, United States",Within an hour,100.0,100.0,True,1310,-110,4.5
Everything you need in NYC! 3BR,Entire place,5,142.0,4.8,182,2016-04-25,2020-04-16,345,False,7,Brooklyn,Bedford-Stuyvesant,938,Melissa J. Osullivan,mjosullivan@outlook.com,2012-12-17,"New York, New York, United States",Within an hour,100.0,90.0,False,1437,-15,7.3
Beautiful 2 bedNear TIME SQUARE,Entire place,5,93.0,4.8,5,2016-04-10,2019-03-08,350,False,17,Manhattan,Hell's Kitchen,2585,Michael E. Perkins,michaelperkins53@hotmail.com,2015-12-16,"New York, New York, United States",Within a day,67.0,75.0,False,1452,390,4.3
"Great Home & Host, Next to 1 train.",Private room,2,56.0,4.98,61,2016-03-20,2020-03-13,224,False,16,Manhattan,Harlem,2694,Kyle A. Chan,kylec@hotmail.com,2016-02-24,"New York, New York, United States",Within an hour,100.0,100.0,True,1473,19,4.1
Harlem Gem,Entire place,5,464.0,4.67,3,2019-10-08,2019-12-05,363,False,16,Manhattan,Harlem,1810,Nancy J. Soares,nancys89@yahoo.com,2014-07-27,"New York, New York, United States",Within an hour,100.0,97.0,True,176,118,5.7
Harlem Gem,Entire place,5,168.0,4.98,117,2016-05-18,2020-01-04,88,False,16,Manhattan,Harlem,2696,Linda A. Chandler,lindachandler95@gmail.com,2016-02-24,"New York, New York, United States",Within an hour,100.0,91.0,True,1414,88,4.1
"Sunny Room, Hamilton Heights Section of Manhattan",Private room,1,60.0,5.0,3,2018-10-24,2019-10-29,365,False,16,Manhattan,Harlem,2117,Ruby B. Fields,rubyf28@hotmail.com,2015-02-07,"New York, New York, United States",Within a few hours,100.0,33.0,False,525,155,5.1
Central Park / UWS,Private room,2,300.0,4.99,71,2016-02-28,2020-03-15,365,True,20,Manhattan,Upper West Side,2702,Sylvia V. Burns,sylviavburns21@yahoo.com,2016-02-26,"New York, New York, United States",Within a few hours,100.0,100.0,True,1494,17,4.1
Trendy 1 Bedroom Harlem Brownstone,Entire place,4,120.0,4.95,84,2016-03-19,2020-07-05,260,True,16,Manhattan,Harlem,2704,Eleanor K. Powers,ekpowers@gmail.com,2016-02-26,"New York, New York, United States",Within an hour,100.0,100.0,True,1474,-95,4.1
Small Room Double Bed and 25 x 15 ft livingroom,Private room,2,87.0,4.8,25,2016-07-14,2019-09-08,27,False,13,Manhattan,Chelsea,1146,Kenneth B. Goyal,kennethgoyal84@hotmail.com,2013-05-21,"New York, New York, United States",Within a day,50.0,90.0,False,1357,206,6.9
Historic Upper West Side Townhouse 1 or 2 Bdrms,Entire place,5,129.0,4.98,128,2016-08-11,2020-03-08,296,True,16,Manhattan,Harlem,2018,Louise S. Boudreau,lsboudreau@gmail.com,2014-11-18,"New York, New York, United States",Within an hour,100.0,100.0,True,1329,24,5.4
Manhattan: 80's upper east side - entire apartment,Entire place,5,350.0,5.0,3,2016-10-18,2019-10-31,363,False,19,Manhattan,Upper East Side,548,Stacy A. Wilson,stacywilson@yahoo.com,2012-02-28,"New York, New York, United States",Within an hour,100.0,85.0,True,1261,153,8.1
Private Room - One of a kind chance in East Harlem,Private room,1,50.0,4.94,18,2016-03-27,2020-03-25,341,False,14,Manhattan,East Harlem,1920,Spencer L. Murray,spencerlmurray6@gmail.com,2014-09-29,"New York, New York, United States",Within an hour,100.0,38.0,True,1466,7,5.5
"Rustic, Clean + Sanitized Apartment w Outdoor Area",Entire place,4,82.0,4.83,244,2016-04-07,2020-03-21,95,False,10,Brooklyn,East Flatbush,271,Deborah P. Acevedo,dpacevedo@gmail.com,2011-06-13,"Brooklyn, New York, United States",Within a day,100.0,84.0,True,1455,11,8.8
2 bed with private outdoor space near TIME SQUARE,Entire place,5,110.0,5.0,3,2016-08-12,2018-07-05,346,False,17,Manhattan,Hell's Kitchen,2585,Michael E. Perkins,michaelperkins53@hotmail.com,2015-12-16,"New York, New York, United States",Within a day,67.0,75.0,False,1328,636,4.3
Private bedroom located in the heart of Chelsea,Private room,2,90.0,4.91,64,2017-04-29,2020-04-05,42,False,13,Manhattan,Chelsea,1458,Chad J. Oconnor,chado36@yahoo.com,2013-11-28,"Chicago, Illinois, United States",Within an hour,100.0,100.0,True,1068,-4,6.3
"Bright 2 bedroom aparment, Bushwick",Entire place,6,148.0,4.81,90,2016-04-19,2020-01-04,364,False,8,Brooklyn,Bushwick,2712,Edith J. Holmes,edithholmes@gmail.com,2016-03-01,"Brooklyn, New York, United States",Within an hour,100.0,79.0,False,1443,88,4.1
Pleasant 3rd Floor Timeless Brooklyn Apt,Entire place,4,88.0,4.98,157,2016-03-20,2020-06-15,79,False,9,Brooklyn,Crown Heights,2586,Craig C. Hassan,craighassan@outlook.com,2015-12-16,"New York, New York, United States",Within a few hours,100.0,64.0,True,1473,-75,4.3
The Brooklyn Tree House: Birch,Private room,2,59.0,4.98,91,2016-09-01,2020-03-11,164,True,12,Brooklyn,Williamsburg,2146,Scott D. Mcdonald,scottdmcdonald15@hotmail.com,2015-02-25,"Brooklyn, New York, United States",Within a few hours,100.0,97.0,True,1308,21,5.1
True NY Living- Times SQ  1 BR Apt,Entire place,4,125.0,4.61,69,2016-03-14,2020-02-09,332,True,17,Manhattan,Hell's Kitchen,395,Linda N. Roche,lindaroche33@gmail.com,2011-10-08,"New York, New York, United States",Within a day,50.0,62.0,False,1479,52,8.5
Great! Private Room in Sunnyside,Private room,2,43.0,4.67,51,2016-07-12,2020-04-19,316,True,26,Queens,Sunnyside,2678,Edna D. Ali,ednaa@gmail.com,2016-02-10,"New York, New York, United States",Within an hour,100.0,99.0,False,1359,-18,4.1
Modern Garden View Apartment,Entire place,2,200.0,5.0,59,2016-03-21,2020-03-10,85,False,12,Brooklyn,Williamsburg,652,Patrick I. Macleod,patrickm20@yahoo.com,2012-05-28,"New York, New York, United States",Within a few hours,100.0,93.0,True,1472,22,7.8
Designer Williamsburg Apt with Terrace,Entire place,2,206.0,4.99,235,2016-03-23,2020-08-12,346,False,12,Brooklyn,Williamsburg,1128,Kimberly C. Marshall,kimberlymarshall@yahoo.com,2013-05-14,"New York, New York, United States",Within an hour,100.0,94.0,True,1470,-133,6.9
Great location-Newly updated-great new features,Entire place,8,211.0,4.33,80,2016-03-16,2019-10-27,364,False,16,Manhattan,Harlem,2701,Brian I. King,brianiking@gmail.com,2016-02-26,"New York, New York, United States",Within a few hours,100.0,100.0,False,1477,157,4.1
Luxury Apartment with Epic Views -2 bedrooms/baths,Entire place,4,200.0,4.75,64,2016-03-13,2020-03-15,91,False,13,Manhattan,Chelsea,2284,Cynthia J. Fischer,cjfischer10@yahoo.com,2015-05-30,"New York, New York, United States",Within an hour,100.0,73.0,False,1480,17,4.8
Bright sunny room in NYC!,Private room,3,35.0,4.89,156,2016-03-23,2019-12-15,227,False,9,Brooklyn,Crown Heights,88,Kyle K. Lang,kklang99@gmail.com,2010-05-01,"New York, New York, United States",Within a few hours,100.0,86.0,True,1470,108,9.9
"Spacious Private Room, lots of character & light",Private room,2,215.0,4.9,108,2016-05-31,2020-01-01,164,False,16,Manhattan,Harlem,1800,Lindsey M. Sen,lindseys4@gmail.com,2014-07-21,"The Bronx, New York, United States",A few days or more,0.0,100.0,True,1401,91,5.7
Private Clean Bright Apt. in Harlem,Entire place,3,190.0,5.0,56,2016-04-19,2019-12-10,365,False,16,Manhattan,Harlem,2726,Charles B. Subramanian,charless@yahoo.com,2016-03-09,"New York, New York, United States",Within a day,100.0,53.0,True,1443,113,4.1
"2 Bedroom Apartment - Walk to Train, Great Area!",Entire place,7,99.0,4.91,103,2016-08-18,2019-07-28,87,False,26,Queens,Sunnyside,2727,Tricia J. Hopkins,triciahopkins48@gmail.com,2016-03-12,"New York, New York, United States",Within an hour,100.0,50.0,False,1322,248,4.1
"LETS STAY TOGETHER 3 bedrooms, 2full baths",Entire place,8,175.0,4.92,13,2018-04-22,2020-07-26,68,False,10,Brooklyn,East Flatbush,2560,Stanley B. Adkins,stanleya70@yahoo.com,2015-11-26,"New York, New York, United States",Within an hour,80.0,93.0,True,710,-116,4.3
Sunny little Nook in NYC!,Private room,2,37.0,4.89,175,2016-03-16,2020-01-03,318,False,9,Brooklyn,Crown Heights,88,Kyle K. Lang,kklang99@gmail.com,2010-05-01,"New York, New York, United States",Within a few hours,100.0,86.0,True,1477,89,9.9
Times Square Two Bedroom,Entire place,4,200.0,4.38,130,2016-04-21,2020-03-08,334,True,17,Manhattan,Hell's Kitchen,2395,Sara J. Mahmoud,sjmahmoud@hotmail.com,2015-08-01,"New York, New York, United States",Within an hour,67.0,100.0,False,1441,24,4.7
Huge townhouse near Central Park!,Entire place,6,450.0,4.78,9,2016-07-19,2019-08-20,247,False,16,Manhattan,Harlem,917,Derek I. Panchal,derekp6@gmail.com,2012-11-29,"New York, New York, United States",Within an hour,100.0,90.0,True,1352,225,7.3
Cozy 1 Bedroom Apt.. Just like home,Entire place,2,142.0,4.98,94,2016-04-17,2020-07-04,88,True,9,Brooklyn,Crown Heights,2733,Elaine H. Barker,elainebarker@outlook.com,2016-03-14,"Brooklyn, New York, United States",Within an hour,100.0,100.0,True,1445,-94,4.0
Large Williamsburg 2 bedroom apt close to L train.,Entire place,4,157.0,5.0,6,2016-05-31,2019-04-26,28,True,12,Brooklyn,Williamsburg,2735,Kelly M. Black,kellymblack32@yahoo.com,2016-03-15,"New York, New York, United States",Within a few hours,100.0,100.0,False,1401,341,4.0
NYCHaven3:,Entire place,7,141.0,4.73,250,2016-04-06,2020-07-31,346,False,10,Brooklyn,East Flatbush,2515,Janet J. Grant,jjgrant75@yahoo.com,2015-10-24,"New York, New York, United States",Within an hour,100.0,80.0,False,1456,-121,4.4
"Spacious loft apt, with plenty of light",Entire place,3,128.0,4.98,58,2016-04-23,2020-06-06,211,True,7,Brooklyn,Bedford-Stuyvesant,859,Russell J. Harris,russelljharris44@hotmail.com,2012-10-08,"New York, New York, United States",Within a day,100.0,93.0,True,1439,-66,7.5
Williamsburg Artist Renovated Nest,Entire place,1,175.0,5.0,5,2016-12-20,2020-01-02,196,False,12,Brooklyn,Williamsburg,81,Jacob N. Lo,jnlo40@outlook.com,2010-04-15,"New York, New York, United States",Within an hour,100.0,90.0,False,1198,90,10.0
Private garden level city oasis!,Entire place,2,85.0,4.92,132,2016-04-15,2020-07-31,350,False,7,Brooklyn,Bedford-Stuyvesant,823,Kyle A. Harris,kyleh80@gmail.com,2012-09-15,"New York, New York, United States",Within an hour,100.0,62.0,True,1447,-121,7.5
Bed-Sty Fly,Entire place,4,151.0,4.57,118,2016-04-05,2020-07-23,359,False,7,Brooklyn,Bedford-Stuyvesant,2129,Michael S. Gallagher,michaelgallagher4@yahoo.com,2015-02-13,"New York, New York, United States",Within an hour,100.0,94.0,False,1457,-113,5.1
Gorgeous large sunny room in NYC!,Private room,5,41.0,4.79,128,2016-03-26,2020-01-02,1,False,9,Brooklyn,Crown Heights,88,Kyle K. Lang,kklang99@gmail.com,2010-05-01,"New York, New York, United States",Within a few hours,100.0,86.0,True,1467,90,9.9
Nice And Clean Room In East Harlem,Private room,1,46.0,4.91,53,2016-08-18,2020-03-14,1,True,14,Manhattan,East Harlem,2738,Cheryl J. Adams,cjadams10@yahoo.com,2016-03-17,"New York, New York, United States",Within an hour,100.0,98.0,True,1322,18,4.0
GREAT Bright Manhtattan Apartment!,Entire place,3,99.0,5.0,12,2017-09-29,2020-05-20,0,False,16,Manhattan,Harlem,73,Lynda J. Whitney,lyndajwhitney@gmail.com,2010-03-02,"Los Angeles, California, United States",Within an hour,100.0,100.0,True,915,-49,10.1
2 bedroom apartment in Midtown West,Entire place,5,100.0,4.75,8,2016-05-31,2019-03-23,334,False,17,Manhattan,Hell's Kitchen,2585,Michael E. Perkins,michaelperkins53@hotmail.com,2015-12-16,"New York, New York, United States",Within a day,67.0,75.0,False,1401,375,4.3
Cozy And Clean Harlem Room,Private room,1,42.0,4.91,67,2016-04-26,2020-03-13,2,True,14,Manhattan,East Harlem,2738,Cheryl J. Adams,cjadams10@yahoo.com,2016-03-17,"New York, New York, United States",Within an hour,100.0,98.0,True,1436,19,4.0
Amazingly Located and near Times Square!!,Entire place,2,500.0,4.91,107,2016-04-05,2017-12-05,365,False,17,Manhattan,Hell's Kitchen,2747,Deborah M. Chang,deborahmchang@yahoo.com,2016-03-24,"New York, New York, United States",Within an hour,100.0,100.0,True,1457,848,4.0
Stunning Central Park West Location,Entire place,4,325.0,4.64,61,2016-05-16,2020-01-05,349,True,20,Manhattan,Upper West Side,2317,Frank S. Shetty,franksshetty67@hotmail.com,2015-06-20,"New York, New York, United States",Within an hour,100.0,100.0,False,1416,87,4.8
The Healing Place,Entire place,3,130.0,4.99,82,2016-04-25,2020-08-05,257,False,9,Brooklyn,Crown Heights,2386,Craig J. Patel,craigjpatel@outlook.com,2015-07-28,"New York, New York, United States",Within an hour,100.0,100.0,True,1437,-126,4.7
"Big apartment, comfy - calm bedroom",Private room,2,65.0,4.98,139,2016-04-18,2020-06-29,329,True,16,Manhattan,Harlem,2751,Joyce D. Rivers,joycerivers@hotmail.com,2016-03-26,"New York, New York, United States",Within an hour,100.0,100.0,True,1444,-89,4.0
Modern 1 Bedroom in Chelsea,Entire place,1,111.0,4.83,12,2016-04-15,2018-12-15,59,False,13,Manhattan,Chelsea,1822,Susan F. Curtis,sfcurtis69@yahoo.com,2014-08-01,"New York, New York, United States",Within a day,100.0,100.0,False,1447,473,5.7
Sunny Charming Clinton Hill Apartment,Entire place,3,99.0,4.83,6,2016-05-02,2019-05-31,79,False,7,Brooklyn,Bedford-Stuyvesant,764,Deborah K. Costa,deborahkcosta71@gmail.com,2012-08-05,"New York, New York, United States",Within a few hours,70.0,50.0,False,1430,306,7.7
Large Quiet Bedroom in South Harlem,Private room,2,49.0,4.9,120,2016-04-17,2020-07-31,44,False,16,Manhattan,Harlem,2755,Michael J. Stuart,michaelstuart@hotmail.com,2016-03-29,"New York, New York, United States",Within a day,100.0,95.0,True,1445,-121,4.0
SoBro Guest House,Entire place,5,129.0,4.89,164,2016-04-10,2020-03-20,339,False,4,Bronx,Mott Haven,2756,Elizabeth J. Fry,elizabethf28@yahoo.com,2016-03-29,"New York, New York, United States",Within a few hours,100.0,100.0,True,1452,12,4.0
Studio Apt. near Empire State Bldg 4B,Entire place,2,92.0,4.73,11,2016-06-06,2019-12-14,317,False,18,Manhattan,Midtown,1780,Pamela H. Rosario,pamelar@gmail.com,2014-07-07,"New York, New York, United States",Within an hour,100.0,89.0,False,1395,109,5.7
Iris: STG GoYankees!,Private room,4,55.0,4.47,47,2016-05-08,2019-05-10,365,False,3,Bronx,Longwood,1626,Michelle J. Garg,michellejgarg@hotmail.com,2014-03-31,"New York, New York, United States",Within an hour,83.0,90.0,False,1424,327,6.0
Jasmine: Lovely Secret Tea Garden!,Private room,4,55.0,4.41,92,2016-04-18,2020-07-25,180,True,3,Bronx,Longwood,1626,Michelle J. Garg,michellejgarg@hotmail.com,2014-03-31,"New York, New York, United States",Within an hour,83.0,90.0,False,1444,-115,6.0
Clean & Spacious King Bedroom,Private room,2,40.0,4.82,174,2016-05-01,2020-07-26,28,False,9,Brooklyn,Crown Heights,2758,Jessica F. Gillespie,jessicagillespie@yahoo.com,2016-03-31,"New York, New York, United States",Within a few hours,100.0,100.0,True,1431,-116,4.0
"Stylish renovated 2BDs, Clinton Hill",Entire place,4,90.0,5.0,16,2016-07-19,2020-06-06,0,False,7,Brooklyn,Bedford-Stuyvesant,58,Jason E. Valdez,jevaldez@outlook.com,2009-12-28,"New York, New York, United States",Within an hour,100.0,80.0,False,1352,-66,10.3
Upper West Side One Bedroom on Central Park,Private room,2,95.0,4.9,84,2017-10-28,2020-01-03,220,True,20,Manhattan,Upper West Side,2762,Meghan S. Ang,meghansang5@yahoo.com,2016-04-02,"New York, New York, United States",Within an hour,100.0,100.0,True,886,89,4.0
"Comfy Brooklyn apt, near train and Manhattan",Entire place,6,250.0,4.92,145,2016-05-31,2020-03-09,299,False,7,Brooklyn,Bedford-Stuyvesant,2764,Lillian R. Mcdaniel,lillianrmcdaniel54@gmail.com,2016-04-03,"New York, New York, United States",Within an hour,100.0,100.0,True,1401,23,4.0
"Beautiful, big apt w/ backyard, 1 block from train",Entire place,4,229.0,4.81,54,2016-09-12,2020-07-17,329,False,10,Brooklyn,East Flatbush,2765,Harry J. Moon,hjmoon94@hotmail.com,2016-04-03,"New York, New York, United States",Within an hour,100.0,90.0,False,1297,-107,4.0
Sunny bohemian room heart of williamsburg,Private room,2,92.0,4.98,223,2016-04-11,2020-03-17,47,False,12,Brooklyn,Williamsburg,2724,Robin F. Rivera,robinrivera@outlook.com,2016-03-09,"New York, New York, United States",Within a few hours,100.0,98.0,True,1451,15,4.1
Flushing Master Room w/ Private bathroom,Private room,4,50.0,4.41,75,2016-04-27,2020-07-03,180,False,22,Queens,Flushing,2767,Chad F. Gupta,cfgupta@yahoo.com,2016-04-04,"New York, New York, United States",Within an hour,97.0,91.0,False,1435,-93,4.0
Cozy & Chic Studio Apartment,Entire place,3,85.0,4.89,102,2016-05-08,2020-03-19,363,True,9,Brooklyn,Crown Heights,2768,Tara A. Lopez,taralopez@hotmail.com,2016-04-05,"Brooklyn, New York, United States",Within a day,100.0,100.0,True,1424,13,4.0
Bright Harlem Apt. in New Building!,Entire place,2,128.0,4.99,121,2016-05-09,2020-08-01,365,False,16,Manhattan,Harlem,1585,Eric V. Purcell,evpurcell@hotmail.com,2014-03-06,"New York, New York, United States",Within a few hours,92.0,67.0,True,1423,-122,6.1
"Top floor skyline view, Bright in Bushwick!",Entire place,3,131.0,4.79,19,2016-05-07,2019-12-13,81,False,12,Brooklyn,Williamsburg,2313,Helen J. Jackson,hjjackson@yahoo.com,2015-06-17,"Brooklyn, New York, United States",Within a few hours,93.0,71.0,False,1425,110,4.8
Luxury 1BR Midtown East-Near the UN,Entire place,4,241.86,4.67,6,2016-05-17,2019-09-13,0,False,18,Manhattan,Midtown,2101,Ronald L. Graham,rlgraham47@outlook.com,2015-01-22,"Little Silver, New Jersey, United States",Within an hour,100.0,57.0,True,1415,201,5.2
Midtown Manhattan Two Full Bedrooms - Private,Entire place,5,239.0,4.72,141,2016-04-18,2020-03-20,286,False,17,Manhattan,Hell's Kitchen,2771,Virginia J. Rice,vjrice81@hotmail.com,2016-04-08,"New York, New York, United States",Within a day,77.0,93.0,False,1444,12,4.0
Large Backyard Facing Bedroom & Private Backyard,Private room,2,55.0,4.84,43,2016-05-06,2020-01-01,90,False,7,Brooklyn,Bedford-Stuyvesant,2198,Tracy M. Foster,tracyf@outlook.com,2015-04-08,"New York, New York, United States",Within a day,100.0,94.0,True,1426,91,5.0
IDEAL One bedroom apt by Central Park!,Entire place,2,95.0,4.74,157,2016-07-23,2020-03-14,243,False,18,Manhattan,Midtown,2772,Jacob A. Pratt,jacobp27@outlook.com,2016-04-09,"New York, New York, United States",Within a few hours,100.0,28.0,False,1348,18,4.0
Flushing Deluxe Room w/1Full and 1Twin Size Bed,Private room,3,40.0,4.4,86,2016-05-06,2020-02-02,180,False,22,Queens,Flushing,2767,Chad F. Gupta,cfgupta@yahoo.com,2016-04-04,"New York, New York, United States",Within an hour,97.0,91.0,False,1426,59,4.0
One station from Manhattan Bedford,Entire place,4,63.0,4.62,55,2016-04-23,2020-07-31,313,False,12,Brooklyn,Williamsburg,877,Ruth J. Marsh,ruthmarsh18@gmail.com,2012-10-19,"New York, New York, United States",Within a few hours,100.0,75.0,False,1439,-121,7.4
Cute 1BR in Brownstone on 137th/8,Entire place,2,145.0,4.86,14,2016-11-25,2019-10-02,364,True,16,Manhattan,Harlem,2746,Beth C. Guerrero,bethcguerrero47@gmail.com,2016-03-24,"New York, New York, United States",Within a few hours,100.0,50.0,False,1223,182,4.0
Super Sunny Room with Fireplace!,Private room,2,34.0,4.89,125,2016-04-25,2020-01-21,282,False,9,Brooklyn,Crown Heights,88,Kyle K. Lang,kklang99@gmail.com,2010-05-01,"New York, New York, United States",Within a few hours,100.0,86.0,True,1437,71,9.9
Glorious Williamsburg Penthouse,Entire place,4,325.0,5.0,13,2017-06-29,2020-02-24,10,False,12,Brooklyn,Williamsburg,2775,Bryant R. Collins,bryantrcollins33@outlook.com,2016-04-12,"Brooklyn, New York, United States",Within a day,100.0,80.0,False,1007,37,4.0
Luxury 2BR Midtown East-Near the UN,Entire place,6,328.0,4.64,14,2016-04-21,2019-05-03,0,False,18,Manhattan,Midtown,2101,Ronald L. Graham,rlgraham47@outlook.com,2015-01-22,"Little Silver, New Jersey, United States",Within an hour,100.0,57.0,True,1441,334,5.2
Cherry Blossom Room on East 95th Street,Private room,1,70.0,4.75,16,2016-05-13,2020-03-18,66,False,19,Manhattan,Upper East Side,2044,Eugene I. Gomez,eugeneg12@gmail.com,2014-12-05,"New York, New York, United States",Within a few hours,100.0,32.0,False,1419,14,5.3
Private 1 Bedroom Apartment SLEEPS 4 -Close to All,Entire place,4,59.0,4.89,28,2016-05-16,2020-02-24,43,False,23,Queens,Jamaica,2777,Nicole C. Javed,nicolej@yahoo.com,2016-04-12,"New York, New York, United States",Within an hour,100.0,96.0,True,1416,37,4.0
Spacious  Brownstone Apt. 1100 sqft/deck/ floor2!,Entire place,5,75.0,4.72,61,2017-09-27,2020-06-18,9,False,25,Queens,Ridgewood,2779,Kyle R. Owens,kyleo13@gmail.com,2016-04-13,"Queens, New York, United States",Within an hour,100.0,98.0,False,917,-78,4.0
It is a very cozy private bedroom.,Private room,1,50.0,5.0,9,2019-10-17,2020-08-03,90,False,16,Manhattan,Harlem,2164,Deborah C. Hoffman,deborahchoffman10@gmail.com,2015-03-09,"New York, New York, United States",Within an hour,100.0,100.0,True,167,-124,5.1
Suite One at Bryant Manor,Entire place,3,175.0,4.89,165,2016-05-04,2020-02-16,365,False,16,Manhattan,Harlem,2781,Richard J. Bradley,richardb@outlook.com,2016-04-13,"New York, New York, United States",Within an hour,100.0,99.0,False,1428,45,4.0
1 bed Apt Near to Time Square,Entire place,4,87.0,4.75,4,2017-05-31,2020-03-26,338,False,17,Manhattan,Hell's Kitchen,2585,Michael E. Perkins,michaelperkins53@hotmail.com,2015-12-16,"New York, New York, United States",Within a day,67.0,75.0,False,1036,6,4.3
Simple Suite with Private Bathroom,Entire place,2,55.0,4.81,62,2019-03-20,2020-04-17,35,True,9,Brooklyn,Crown Heights,2758,Jessica F. Gillespie,jessicagillespie@yahoo.com,2016-03-31,"New York, New York, United States",Within a few hours,100.0,100.0,True,378,-16,4.0
Lovely Brownstone Garden Apartment,Entire place,4,175.0,4.9,62,2016-05-18,2019-10-02,364,False,7,Brooklyn,Bedford-Stuyvesant,204,Jim J. Greer,jimgreer@yahoo.com,2011-03-06,"New York, New York, United States",Within a day,100.0,100.0,True,1414,182,9.1
Traveller's Flat â€“ Hell's Kitchen,Entire place,6,71.0,4.99,139,2016-05-11,2020-07-19,179,True,17,Manhattan,Hell's Kitchen,1566,Heather J. Daniels,heatherd@yahoo.com,2014-02-17,"New York, New York, United States",Within an hour,100.0,98.0,True,1421,-109,6.1
Entire Home in NYC- 2 bedroom/ Private Entrance,Entire place,5,99.0,4.74,43,2016-05-04,2020-07-11,259,False,1,Bronx,Allerton,1520,Pamela J. Fernandez,pamelaf@yahoo.com,2014-01-14,"New York, New York, United States",Within a few hours,100.0,82.0,False,1428,-101,6.2
Luxury 2BR Midtown East-Near UN!,Entire place,6,328.0,4.8,5,2016-10-14,2019-05-05,0,False,18,Manhattan,Midtown,2101,Ronald L. Graham,rlgraham47@outlook.com,2015-01-22,"Little Silver, New Jersey, United States",Within an hour,100.0,57.0,True,1265,332,5.2
BK'S FINEST CLOSE 2 TRANSPORTATION-,Private room,2,46.0,4.51,72,2016-05-15,2018-06-09,0,True,8,Brooklyn,Bushwick,2571,Rosemary E. Keller,rosemaryk94@hotmail.com,2015-12-05,"Brooklyn, New York, United States",Within an hour,84.0,97.0,False,1417,662,4.3
"Penthouse 2BR w skylight,terrace, and a roof deck.",Entire place,5,399.0,4.99,75,2016-06-15,2020-06-12,329,False,19,Manhattan,Upper East Side,2793,Jessica J. Austin,jessicaa3@yahoo.com,2016-04-20,"New York, New York, United States",Within a day,90.0,99.0,True,1386,-72,3.9
